"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"19","63563473556","Gazeta Wyborcza","Ju¿ jutro! Zapraszamy wszystkich do Lublina na Festiwal Ma³ych Opowieœci, czyli wielki fina³ Akademii Opowieœci! Transmisja ze spotkania o 18.00 na wyborcza.pl.
#akademiaopowieœci","2017-06-23T19:20:00+0000","link","http://wyborcza.pl/AkcjeSpecjalne/7,155762,21850298,festiwal-malych-opowiesci.html","63563473556_10155008929343557",,13,0,0
"20","63563473556","Gazeta Wyborcza","Ubywa Polaków ¿yj¹cych poni¿ej minimum egzystencji","2017-06-23T19:14:14+0000","link","http://wyborcza.pl/7,155287,22001789,program-500-plus-wypycha-ze-skrajnej-biedy.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008998298557",,133,53,4
"21","63563473556","Gazeta Wyborcza","W trzy tygodnie na profilach w mediach spo³ecznoœciowych polskich polityków trolle napisa³y 10 tys. wiadomoœci. Naukowiec z Oksfordu stworzy³ raport o tym zjawisku w polskiej sieci.","2017-06-23T18:47:00+0000","link","http://wyborcza.pl/7,156282,22001141,trolle-w-polskim-internecie-najczesciej-falszywki-wypuszcza.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008705383557",,172,27,68
"22","63563473556","Gazeta Wyborcza","Ryzykowna operacja. Wszystko przez to, ¿e kioskarz zamiast standardowej p³atnoœci kart¹ wymusi³ na kliencie skorzystanie z us³ugi cash back.","2017-06-23T17:33:00+0000","link","http://wyborcza.biz/biznes/7,158582,21983625,kioskarz-zaoszczedzil-5-groszy-klient-mogl-stracic-20-razy.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008699598557",,7,8,8
"23","63563473556","Gazeta Wyborcza","Poparcie dla PiS przekroczy³o to osi¹gniête w dniu wyborów","2017-06-23T16:48:00+0000","link","http://wyborcza.pl/7,75398,22001412,sondaz-ipsos-dla-oko-press-pis-z-konstytucyjna-wiekszoscia.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008675468557",,70,153,26
"24","63563473556","Gazeta Wyborcza","""Jeœli mój Brexit sprzeda³ siê jako napój, to sprzeda siê te¿ jako mas³o. Jak inny kraj wyjdzie z Unii, to tam te¿ wejdê. Sprzedam Frexit czy inny produkt""","2017-06-23T16:12:00+0000","link","http://wyborcza.pl/7,155287,21990810,mloda-architektka-w-anglii-trace-tu-moj-dom-a-inni-ja.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008508883557",,12,1,0
"25","63563473556","Gazeta Wyborcza","Macron do Szyd³o: Potraktowaliœcie nas gorzej, ni¿ my byœmy potraktowali Zimbabwe","2017-06-23T15:39:00+0000","link","http://wyborcza.pl/7,75399,22000901,emmanuel-macron-na-spotkaniu-z-premierami-grupy-wyszehradzkiej.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008457543557",,711,51,89
"26","63563473556","Gazeta Wyborcza","Co o ojcach mówi dziœ nauka?

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T14:49:00+0000","link","http://wyborcza.pl/7,75400,21994985,dzieki-tato.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008049803557",,9,2,2
"27","63563473556","Gazeta Wyborcza","Niesamowity wynik finansowy prezydenta Roberta Biedronia w S³upsku.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T14:13:00+0000","link","http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,21999391,cud-biedronia-w-slupsku-byl-deficyt-budzetowy-jest-spora-nadwyzka.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155008053028557",,2534,87,107
"28","63563473556","Gazeta Wyborcza","W sobotê w Lublinie bêdziemy œwiêtowaæ fina³ super akcji - Akademii Opowieœci. Dziêki niej ponad 600 tys. osób przeczyta³o opowieœci o najwa¿niejszym cz³owiekiem w czyimœ ¿yciu. A 1655 nam tego cz³owieka opisa³o!

Wielki fina³ bêdziecie mogli na bie¿¹co œledziæ na Wyborcza.pl Lublin i na Festiwal Ma³ych Opowieœci. A o 18 zapraszamy tutaj na relacjê live z piêknej gali zamkniêcia!","2017-06-23T13:28:00+0000","video","https://www.facebook.com/wyborcza/videos/10155008131078557/","63563473556_10155008131078557",,12,2,0
"29","63563473556","Gazeta Wyborcza","Wed³ug czeskich mediów Polska próbowa³a odwo³aæ zaplanowane spotkanie lecz inne kraje nie wyrazi³y na to zgody.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T12:49:00+0000","link","http://wyborcza.pl/10,82983,21999038,szydlo-i-macron-po-przeciwnych-stronach-stolu-czy-to-juz-wymiana.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007942808557",,112,30,32
"30","63563473556","Gazeta Wyborcza","Z³e wieœci dla frankowiczów.

 — Products shown: Czytaj promocyjnie przez 3 m-ce and Czytaj przez 6 m-cy w cenie 3.","2017-06-23T12:09:00+0000","link","http://wyborcza.pl/7,155287,21998240,zle-wiesci-dla-frankowiczow-dobre-dla-mbanku-sad-zakwestionowal.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155007761293557",,72,16,11
